DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Year,Month,Hour
2020-01-08,2230,Southwest,BATTERY - SIMPLE ASSAULT,36,F,B,2020,2020-01-01,22
2020-10-15,2000,West LA,BATTERY - SIMPLE ASSAULT,50,F,W,2020,2020-10-01,20
2020-08-27,1255,Van Nuys,BATTERY - SIMPLE ASSAULT,57,F,H,2020,2020-08-01,12
2020-06-20,1000,West LA,BATTERY - SIMPLE ASSAULT,78,F,W,2020,2020-06-01,10
2020-06-23,2200,West LA,BATTERY - SIMPLE ASSAULT,24,M,W,2020,2020-06-01,22
2020-02-16,2350,Wilshire,BATTERY - SIMPLE ASSAULT,29,F,H,2020,2020-02-01,23
2020-03-26,1435,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23,M,H,2020,2020-03-01,14
2020-12-12,15,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,M,H,2020,2020-12-01,0
2020-02-11,230,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27,M,H,2020,2020-02-01,2
2020-07-29,2010,West LA,BATTERY - SIMPLE ASSAULT,71,M,A,2020,2020-07-01,20
2020-03-02,2030,West Valley,BATTERY - SIMPLE ASSAULT,34,F,H,2020,2020-03-01,20
2020-11-20,1130,Van Nuys,BATTERY - SIMPLE ASSAULT,33,F,W,2020,2020-11-01,11
2020-08-06,2300,Hollywood,BATTERY - SIMPLE ASSAULT,19,F,B,2020,2020-08-01,23
2020-11-29,1900,Harbor,BATTERY - SIMPLE ASSAULT,41,M,H,2020,2020-11-01,19
2020-07-20,750,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,F,B,2020,2020-07-01,7
2020-07-05,1100,Southeast,BATTERY - SIMPLE ASSAULT,22,F,B,2020,2020-07-01,11
2020-11-26,1820,Hollenbeck,BATTERY - SIMPLE ASSAULT,28,F,H,2020,2020-11-01,18
2020-11-13,200,West LA,BATTERY - SIMPLE ASSAULT,50,M,O,2020,2020-11-01,2
2020-07-12,2230,Van Nuys,BATTERY - SIMPLE ASSAULT,30,F,H,2020,2020-07-01,22
2020-05-27,2110,Southwest,BATTERY - SIMPLE ASSAULT,30,M,B,2020,2020-05-01,21
2020-09-19,1015,Hollenbeck,BATTERY - SIMPLE ASSAULT,41,M,H,2020,2020-09-01,10
2020-05-28,1453,Wilshire,BATTERY - SIMPLE ASSAULT,31,F,W,2020,2020-05-01,14
2020-12-12,15,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",68,M,O,2020,2020-12-01,0
2020-12-01,235,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,F,A,2020,2020-12-01,2
2020-03-07,1130,Hollenbeck,BATTERY - SIMPLE ASSAULT,81,M,H,2020,2020-03-01,11
2020-05-30,2025,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,F,B,2020,2020-05-01,20
2020-10-09,220,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",59,M,B,2020,2020-10-01,2
2020-10-12,1230,Harbor,BATTERY - SIMPLE ASSAULT,50,F,H,2020,2020-10-01,12
2020-03-22,1600,Hollenbeck,BATTERY - SIMPLE ASSAULT,24,M,H,2020,2020-03-01,16
2020-10-08,230,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34,M,W,2020,2020-10-01,2
2020-01-01,930,Southwest,BATTERY - SIMPLE ASSAULT,29,F,B,2020,2020-01-01,9
2020-01-04,2240,Southwest,BATTERY - SIMPLE ASSAULT,31,M,B,2020,2020-01-01,22
2020-01-22,900,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,M,B,2020,2020-01-01,9
2020-01-01,930,Southwest,BATTERY - SIMPLE ASSAULT,40,M,W,2020,2020-01-01,9
